Genus	H	NL	L2l	w2l	StD	NF	IL	iaxL	BrL 	Brw	OvL	SlaL	Slaw	PetL	Petw	LipL	LlalL	LmlL	Lipw	Lmlw	SpL	SpD
Anacamptis	30.10	10.00	7.55	1.40	3.10	9.00	5.15	2.15	12.80	3.70	11.20	9.70	4.10	6.90	2.00	8.10	6.80	2.20	15.00	8.40	10.50	2.60
Anacamptis	25.90	8.00	5.65	1.00	1.80	4.00	3.40	0.00	11.80	2.60	12.10	9.10	4.20	6.90	2.20	7.80	6.50	2.80	15.20	7.70	11.30	2.40
Anacamptis	24.00	8.00	7.30	1.20	1.80	5.00	4.15	3.00	12.20	3.60	10.70	9.80	4.20	6.70	2.30	7.50	6.70	1.70	12.70	6.60	9.80	2.00
Anacamptis	20.80	8.00	5.20	1.15	3.10	9.00	7.57	3.98	12.90	4.10	12.60	8.70	3.60	6.40	1.90	8.00	7.20	1.10	13.30	7.60	12.00	2.30
Anacamptis	23.30	8.00	4.70	1.00	3.40	9.00	7.52	3.60	13.00	4.70	11.80	10.50	4.70	6.10	2.50	8.20	8.00	1.80	15.40	7.50	9.00	2.30
Anacamptis	14.80	9.00	3.60	0.75	2.40	8.00	3.46	1.52	12.30	5.00	11.50	9.20	4.10	5.80	1.90	6.90	6.00	1.40	11.50	6.10	11.00	2.00
Anacamptis	18.10	9.00	4.60	1.00	2.30	9.00	4.92	2.29	10.90	4.20	10.20	8.00	3.90	5.30	1.90	6.50	4.90	1.80	10.50	6.80	10.60	1.80
Anacamptis	14.20	8.00	5.20	0.70	1.70	4.00	2.30	0.00	10.30	3.10	8.40	7.80	3.70	5.80	2.10	7.60	7.20	1.40	13.60	7.10	9.20	1.70
Anacamptis	20.40	10.00	5.60	1.15	3.20	9.00	5.71	2.37	16.10	5.30	12.70	9.80	4.80	6.30	2.50	8.20	8.20	1.10	15.60	8.30	9.50	2.30
Anacamptis	20.70	8.00	4.90	1.20	3.20	10.00	6.10	2.56	11.30	3.80	11.10	8.30	4.90	5.30	2.20	7.10	7.20	1.30	14.30	6.90	9.60	2.30
Anacamptis	21.20	10.00	5.70	0.95	3.00	9.00	6.28	2.76	12.50	4.40	11.80	8.40	4.30	5.50	2.00	6.70	6.40	1.50	13.40	6.60	10.30	2.20
Anacamptis	17.50	7.00	5.60	1.10	2.20	7.00	4.62	2.61	12.30	4.10	12.20	8.20	3.80	5.70	2.60	7.00	7.10	1.10	14.80	5.90	11.60	2.30
Anacamptis	11.80	6.00	4.40	0.70	1.60	3.00	2.13	0.00	10.10	3.30	11.20	7.60	3.30	5.10	1.60	5.10	4.60	0.90	8.20	5.20	11.90	2.40
Anacamptis	19.10	10.00	6.00	1.05	2.90	10.00	6.15	2.46	13.70	3.90	13.00	8.20	4.00	5.60	2.70	7.40	7.00	1.30	11.40	6.20	11.00	2.30
Anacamptis	16.60	8.00	4.20	1.15	2.60	8.00	4.03	1.95	12.80	4.70	11.50	8.30	3.90	5.40	2.30	5.80	5.10	1.40	13.20	6.00	11.90	2.70
Anacamptis	18.60	7.00	4.70	0.85	2.20	8.00	6.82	3.72	11.50	3.50	11.00	7.40	3.20	5.10	1.80	6.10	5.90	1.00	9.60	5.60	10.80	1.90
Anacamptis	23.70	12.00	6.00	1.15	3.00	11.00	6.13	1.93	13.70	4.90	13.30	9.30	4.10	6.20	2.60	6.80	6.30	2.10	12.10	5.80	13.50	2.40
